Class	Field	Type	Description
ExcelScript.ChartTitle	getVerticalAlignment()	Method	Specifies the vertical alignment of chart title.
ExcelScript.ChartTitle	getVisible()	Method	Specifies if the chart title is visibile.
ExcelScript.ChartTitle	getWidth()	Method	Specifies the width  in points  of the chart title.
ExcelScript.ChartTitle	setFormula(formula)	Method	Sets a string value that represents the formula of chart title using A1-style notation.
ExcelScript.ChartTitle	setHorizontalAlignment(horizontalAlignment)	Method	Specifies the horizontal alignment for chart title.
ExcelScript.ChartTitle	setLeft(left)	Method	Specifies the distance  in points  from the left edge of chart title to the left edge of chart area.
ExcelScript.ChartTitle	setOverlay(overlay)	Method	Specifies if the chart title will overlay the chart.
ExcelScript.ChartTitle	setPosition(position)	Method	Represents the position of chart title.
ExcelScript.ChartTitle	setShowShadow(showShadow)	Method	Represents a boolean value that determines if the chart title has a shadow.
ExcelScript.ChartTitle	setText(text)	Method	Specifies the chart's title text.
ExcelScript.ChartTitle	setTextOrientation(textOrientation)	Method	Specifies the angle to which the text is oriented for the chart title.
ExcelScript.ChartTitle	setTop(top)	Method	Specifies the distance  in points  from the top edge of chart title to the top of chart area.
ExcelScript.ChartTitle	setVerticalAlignment(verticalAlignment)	Method	Specifies the vertical alignment of chart title.
ExcelScript.ChartTitle	setVisible(visible)	Method	Specifies if the chart title is visibile.
ExcelScript.ChartTitleFormat		Class	Provides access to the formatting options for a chart title.
ExcelScript.ChartTitleFormat	getBorder()	Method	Represents the border format of chart title  which includes color  linestyle  and weight.
ExcelScript.ChartTitleFormat	getFill()	Method	Represents the fill format of an object  which includes background formatting information.
ExcelScript.ChartTitleFormat	getFont()	Method	Represents the font attributes (such as font name  font size  and color) for an object.
ExcelScript.ChartTitlePosition		Class	Represents the position of the chart title.
ExcelScript.ChartTitlePosition	automatic	EnumField	
ExcelScript.ChartTitlePosition	bottom	EnumField	
ExcelScript.ChartTitlePosition	left	EnumField	
ExcelScript.ChartTitlePosition	right	EnumField	
ExcelScript.ChartTitlePosition	top	EnumField	
ExcelScript.ChartTrendline		Class	This object represents the attributes for a chart trendline object.
ExcelScript.ChartTrendline	delete()	Method	Delete the trendline object.
ExcelScript.ChartTrendline	getBackwardPeriod()	Method	Represents the number of periods that the trendline extends backward.
ExcelScript.ChartTrendline	getFormat()	Method	Represents the formatting of a chart trendline.
ExcelScript.ChartTrendline	getForwardPeriod()	Method	Represents the number of periods that the trendline extends forward.
ExcelScript.ChartTrendline	getIntercept()	Method	Specifies the intercept value of the trendline.
ExcelScript.ChartTrendline	getLabel()	Method	Represents the label of a chart trendline.
ExcelScript.ChartTrendline	getMovingAveragePeriod()	Method	Represents the period of a chart trendline.
ExcelScript.ChartTrendline	getName()	Method	Represents the name of the trendline.
ExcelScript.ChartTrendline	getPolynomialOrder()	Method	Represents the order of a chart trendline.
ExcelScript.ChartTrendline	getShowEquation()	Method	True if the equation for the trendline is displayed on the chart.
ExcelScript.ChartTrendline	getShowRSquared()	Method	True if the r-squared value for the trendline is displayed on the chart.
ExcelScript.ChartTrendline	getType()	Method	Represents the type of a chart trendline.
ExcelScript.ChartTrendline	setBackwardPeriod(backwardPeriod)	Method	Represents the number of periods that the trendline extends backward.
ExcelScript.ChartTrendline	setForwardPeriod(forwardPeriod)	Method	Represents the number of periods that the trendline extends forward.
ExcelScript.ChartTrendline	setIntercept(intercept)	Method	Specifies the intercept value of the trendline.
ExcelScript.ChartTrendline	setMovingAveragePeriod(movingAveragePeriod)	Method	Represents the period of a chart trendline.
ExcelScript.ChartTrendline	setName(name)	Method	Represents the name of the trendline.
ExcelScript.ChartTrendline	setPolynomialOrder(polynomialOrder)	Method	Represents the order of a chart trendline.
ExcelScript.ChartTrendline	setShowEquation(showEquation)	Method	True if the equation for the trendline is displayed on the chart.
ExcelScript.ChartTrendline	setShowRSquared(showRSquared)	Method	True if the r-squared value for the trendline is displayed on the chart.
ExcelScript.ChartTrendline	setType(type)	Method	Represents the type of a chart trendline.
ExcelScript.ChartTrendlineFormat		Class	Represents the format properties for the chart trendline.
ExcelScript.ChartTrendlineFormat	getLine()	Method	Represents chart line formatting.
ExcelScript.ChartTrendlineLabel		Class	This object represents the attributes for a chart trendline label object.
ExcelScript.ChartTrendlineLabel	getAutoText()	Method	Specifies if the trendline label automatically generates appropriate text based on context.
ExcelScript.ChartTrendlineLabel	getFormat()	Method	The format of the chart trendline label.
ExcelScript.ChartTrendlineLabel	getFormula()	Method	String value that represents the formula of the chart trendline label using A1-style notation.
ExcelScript.ChartTrendlineLabel	getHeight()	Method	Returns the height  in points  of the chart trendline label.
ExcelScript.ChartTrendlineLabel	getHorizontalAlignment()	Method	Represents the horizontal alignment of the chart trendline label.
ExcelScript.ChartTrendlineLabel	getLeft()	Method	Represents the distance  in points  from the left edge of the chart trendline label to the left edge of the chart area.
ExcelScript.ChartTrendlineLabel	getLinkNumberFormat()	Method	Specifies if the number format is linked to the cells (so that the number format changes in the labels when it changes in the cells).
ExcelScript.ChartTrendlineLabel	getNumberFormat()	Method	String value that represents the format code for the trendline label.
ExcelScript.ChartTrendlineLabel	getText()	Method	String representing the text of the trendline label on a chart.
ExcelScript.ChartTrendlineLabel	getTextOrientation()	Method	Represents the angle to which the text is oriented for the chart trendline label.
ExcelScript.ChartTrendlineLabel	getTop()	Method	Represents the distance  in points  from the top edge of the chart trendline label to the top of the chart area.
ExcelScript.ChartTrendlineLabel	getVerticalAlignment()	Method	Represents the vertical alignment of the chart trendline label.
ExcelScript.ChartTrendlineLabel	getWidth()	Method	Returns the width  in points  of the chart trendline label.
ExcelScript.ChartTrendlineLabel	setAutoText(autoText)	Method	Specifies if the trendline label automatically generates appropriate text based on context.
ExcelScript.ChartTrendlineLabel	setFormula(formula)	Method	String value that represents the formula of the chart trendline label using A1-style notation.
ExcelScript.ChartTrendlineLabel	setHorizontalAlignment(horizontalAlignment)	Method	Represents the horizontal alignment of the chart trendline label.
ExcelScript.ChartTrendlineLabel	setLeft(left)	Method	Represents the distance  in points  from the left edge of the chart trendline label to the left edge of the chart area.
ExcelScript.ChartTrendlineLabel	setLinkNumberFormat(linkNumberFormat)	Method	Specifies if the number format is linked to the cells (so that the number format changes in the labels when it changes in the cells).
ExcelScript.ChartTrendlineLabel	setNumberFormat(numberFormat)	Method	String value that represents the format code for the trendline label.
ExcelScript.ChartTrendlineLabel	setText(text)	Method	String representing the text of the trendline label on a chart.
ExcelScript.ChartTrendlineLabel	setTextOrientation(textOrientation)	Method	Represents the angle to which the text is oriented for the chart trendline label.
ExcelScript.ChartTrendlineLabel	setTop(top)	Method	Represents the distance  in points  from the top edge of the chart trendline label to the top of the chart area.
ExcelScript.ChartTrendlineLabel	setVerticalAlignment(verticalAlignment)	Method	Represents the vertical alignment of the chart trendline label.
ExcelScript.ChartTrendlineLabelFormat		Class	Encapsulates the format properties for the chart trendline label.
ExcelScript.ChartTrendlineLabelFormat	getBorder()	Method	Specifies the border format  which includes color  linestyle  and weight.
ExcelScript.ChartTrendlineLabelFormat	getFill()	Method	Specifies the fill format of the current chart trendline label.
ExcelScript.ChartTrendlineLabelFormat	getFont()	Method	Specifies the font attributes (such as font name  font size  and color) for a chart trendline label.
ExcelScript.ChartTrendlineType		Class	
ExcelScript.ChartTrendlineType	exponential	EnumField	
ExcelScript.ChartTrendlineType	linear	EnumField	
ExcelScript.ChartTrendlineType	logarithmic	EnumField	
ExcelScript.ChartTrendlineType	movingAverage	EnumField	
ExcelScript.ChartTrendlineType	polynomial	EnumField	
ExcelScript.ChartTrendlineType	power	EnumField	
ExcelScript.ChartType		Class	
ExcelScript.ChartType	area	EnumField	
ExcelScript.ChartType	areaStacked	EnumField	
ExcelScript.ChartType	areaStacked100	EnumField	
ExcelScript.ChartType	barClustered	EnumField	
ExcelScript.ChartType	barOfPie	EnumField	
ExcelScript.ChartType	barStacked	EnumField	
ExcelScript.ChartType	barStacked100	EnumField	
ExcelScript.ChartType	boxwhisker	EnumField	
ExcelScript.ChartType	bubble	EnumField	
ExcelScript.ChartType	bubble3DEffect	EnumField	
ExcelScript.ChartType	columnClustered	EnumField	
ExcelScript.ChartType	columnStacked	EnumField	
ExcelScript.ChartType	columnStacked100	EnumField	
ExcelScript.ChartType	coneBarClustered	EnumField	
ExcelScript.ChartType	coneBarStacked	EnumField	
ExcelScript.ChartType	coneBarStacked100	EnumField	
ExcelScript.ChartType	coneCol	EnumField	
ExcelScript.ChartType	coneColClustered	EnumField	
ExcelScript.ChartType	coneColStacked	EnumField	
ExcelScript.ChartType	coneColStacked100	EnumField	
ExcelScript.ChartType	cylinderBarClustered	EnumField	
ExcelScript.ChartType	cylinderBarStacked	EnumField	
ExcelScript.ChartType	cylinderBarStacked100	EnumField	
ExcelScript.ChartType	cylinderCol	EnumField	
ExcelScript.ChartType	cylinderColClustered	EnumField	
ExcelScript.ChartType	cylinderColStacked	EnumField	
ExcelScript.ChartType	cylinderColStacked100	EnumField	
ExcelScript.ChartType	doughnut	EnumField	
ExcelScript.ChartType	doughnutExploded	EnumField	
ExcelScript.ChartType	funnel	EnumField	
ExcelScript.ChartType	histogram	EnumField	
ExcelScript.ChartType	invalid	EnumField	
ExcelScript.ChartType	line	EnumField	
ExcelScript.ChartType	lineMarkers	EnumField	
ExcelScript.ChartType	lineMarkersStacked	EnumField	
ExcelScript.ChartType	lineMarkersStacked100	EnumField	
ExcelScript.ChartType	lineStacked	EnumField	
ExcelScript.ChartType	lineStacked100	EnumField	
ExcelScript.ChartType	pareto	EnumField	
ExcelScript.ChartType	pie	EnumField	
ExcelScript.ChartType	pieExploded	EnumField	
ExcelScript.ChartType	pieOfPie	EnumField	
ExcelScript.ChartType	pyramidBarClustered	EnumField	
ExcelScript.ChartType	pyramidBarStacked	EnumField	
ExcelScript.ChartType	pyramidBarStacked100	EnumField	
ExcelScript.ChartType	pyramidCol	EnumField	
ExcelScript.ChartType	pyramidColClustered	EnumField	
ExcelScript.ChartType	pyramidColStacked	EnumField	
ExcelScript.ChartType	pyramidColStacked100	EnumField	
ExcelScript.ChartType	radar	EnumField	
ExcelScript.ChartType	radarFilled	EnumField	
ExcelScript.ChartType	radarMarkers	EnumField	
ExcelScript.ChartType	regionMap	EnumField	
ExcelScript.ChartType	stockHLC	EnumField	
ExcelScript.ChartType	stockOHLC	EnumField	
ExcelScript.ChartType	stockVHLC	EnumField	
ExcelScript.ChartType	stockVOHLC	EnumField	
ExcelScript.ChartType	sunburst	EnumField	
ExcelScript.ChartType	surface	EnumField	
ExcelScript.ChartType	surfaceTopView	EnumField	
ExcelScript.ChartType	surfaceTopViewWireframe	EnumField	
ExcelScript.ChartType	surfaceWireframe	EnumField	
ExcelScript.ChartType	treemap	EnumField	
ExcelScript.ChartType	waterfall	EnumField	
ExcelScript.ChartType	xyscatter	EnumField	
ExcelScript.ChartType	xyscatterLines	EnumField	
ExcelScript.ChartType	xyscatterLinesNoMarkers	EnumField	
ExcelScript.ChartType	xyscatterSmooth	EnumField	
ExcelScript.ChartType	xyscatterSmoothNoMarkers	EnumField	
ExcelScript.ChartUnderlineStyle		Class	
ExcelScript.ChartUnderlineStyle	none	EnumField	
ExcelScript.ChartUnderlineStyle	single	EnumField	
ExcelScript.ClearApplyTo		Class	
ExcelScript.ClearApplyTo	all	EnumField	
ExcelScript.ClearApplyTo	contents	EnumField	Clears the contents of the range.
ExcelScript.ClearApplyTo	formats	EnumField	Clears all formatting for the range.
ExcelScript.ClearApplyTo	hyperlinks	EnumField	Clears all hyperlinks  but leaves all content and formatting intact.
ExcelScript.ClearApplyTo	removeHyperlinks	EnumField	Removes hyperlinks and formatting for the cell but leaves content  conditional formats  and data validation intact.
